AgeGroup,Date,Country,Female,Male,Total,Date2
0 to 14,01/05/2021,Scotland,24,24,48,2021-05-01
0 to 14,01/06/2021,Scotland,70,64,134,2021-06-01
0 to 14,01/07/2021,Scotland,187,168,355,2021-07-01
0 to 14,01/08/2021,Scotland,69,91,160,2021-08-01
0 to 14,02/05/2021,Scotland,17,12,29,2021-05-02
0 to 14,02/06/2021,Scotland,69,92,161,2021-06-02
0 to 14,02/07/2021,Scotland,232,218,450,2021-07-02
0 to 14,02/08/2021,Scotland,106,72,178,2021-08-02
0 to 14,03/05/2021,Scotland,10,12,22,2021-05-03
0 to 14,03/06/2021,Scotland,95,75,170,2021-06-03
0 to 14,03/07/2021,Scotland,186,163,349,2021-07-03
0 to 14,03/08/2021,Scotland,115,106,221,2021-08-03
0 to 14,04/05/2021,Scotland,24,19,43,2021-05-04
0 to 14,04/06/2021,Scotland,80,76,157,2021-06-04
0 to 14,04/07/2021,Scotland,189,156,346,2021-07-04
0 to 14,04/08/2021,Scotland,110,85,195,2021-08-04
0 to 14,05/05/2021,Scotland,21,22,43,2021-05-05
0 to 14,05/06/2021,Scotland,68,49,117,2021-06-05
0 to 14,05/07/2021,Scotland,221,187,408,2021-07-05
0 to 14,05/08/2021,Scotland,104,84,188,2021-08-05
0 to 14,06/05/2021,Scotland,19,19,38,2021-05-06
0 to 14,06/06/2021,Scotland,69,64,133,2021-06-06
0 to 14,06/07/2021,Scotland,197,170,368,2021-07-06
0 to 14,06/08/2021,Scotland,102,89,191,2021-08-06
0 to 14,07/05/2021,Scotland,32,16,48,2021-05-07
0 to 14,07/06/2021,Scotland,87,109,196,2021-06-07
0 to 14,07/07/2021,Scotland,169,175,344,2021-07-07
0 to 14,07/08/2021,Scotland,101,79,181,2021-08-07
0 to 14,08/05/2021,Scotland,21,10,31,2021-05-08
0 to 14,08/06/2021,Scotland,78,99,177,2021-06-08
0 to 14,08/07/2021,Scotland,206,162,369,2021-07-08
0 to 14,09/05/2021,Scotland,23,27,50,2021-05-09
0 to 14,09/06/2021,Scotland,81,101,182,2021-06-09
0 to 14,09/07/2021,Scotland,123,144,267,2021-07-09
0 to 14,10/05/2021,Scotland,37,34,71,2021-05-10
0 to 14,10/06/2021,Scotland,109,108,217,2021-06-10
0 to 14,10/07/2021,Scotland,130,116,247,2021-07-10
0 to 14,11/05/2021,Scotland,39,39,78,2021-05-11
0 to 14,11/06/2021,Scotland,91,86,177,2021-06-11
0 to 14,11/07/2021,Scotland,143,135,278,2021-07-11
0 to 14,12/05/2021,Scotland,30,44,74,2021-05-12
0 to 14,12/06/2021,Scotland,72,67,139,2021-06-12
0 to 14,12/07/2021,Scotland,184,178,362,2021-07-12
0 to 14,13/05/2021,Scotland,31,43,74,2021-05-13
0 to 14,13/06/2021,Scotland,72,88,160,2021-06-13
0 to 14,13/07/2021,Scotland,157,150,307,2021-07-13
0 to 14,14/05/2021,Scotland,35,34,69,2021-05-14
0 to 14,14/06/2021,Scotland,133,129,262,2021-06-14
0 to 14,14/07/2021,Scotland,131,152,283,2021-07-14
0 to 14,15/05/2021,Scotland,19,37,56,2021-05-15
0 to 14,15/06/2021,Scotland,111,122,233,2021-06-15
0 to 14,15/07/2021,Scotland,128,83,211,2021-07-15
0 to 14,16/05/2021,Scotland,27,19,46,2021-05-16
0 to 14,16/06/2021,Scotland,143,105,248,2021-06-16
0 to 14,16/07/2021,Scotland,133,110,243,2021-07-16
0 to 14,17/05/2021,Scotland,44,47,91,2021-05-17
0 to 14,17/06/2021,Scotland,106,122,228,2021-06-17
0 to 14,17/07/2021,Scotland,112,91,203,2021-07-17
0 to 14,18/05/2021,Scotland,57,47,104,2021-05-18
0 to 14,18/06/2021,Scotland,139,140,279,2021-06-18
0 to 14,18/07/2021,Scotland,126,113,239,2021-07-18
0 to 14,19/05/2021,Scotland,51,60,111,2021-05-19
0 to 14,19/06/2021,Scotland,113,111,224,2021-06-19
0 to 14,19/07/2021,Scotland,189,136,325,2021-07-19
0 to 14,20/05/2021,Scotland,48,55,103,2021-05-20
0 to 14,20/06/2021,Scotland,144,117,261,2021-06-20
0 to 14,20/07/2021,Scotland,154,89,243,2021-07-20
0 to 14,21/05/2021,Scotland,45,68,113,2021-05-21
0 to 14,21/06/2021,Scotland,230,236,466,2021-06-21
0 to 14,21/07/2021,Scotland,117,119,236,2021-07-21
0 to 14,22/05/2021,Scotland,42,35,77,2021-05-22
0 to 14,22/06/2021,Scotland,207,213,420,2021-06-22
0 to 14,22/07/2021,Scotland,106,85,191,2021-07-22
0 to 14,23/05/2021,Scotland,41,36,77,2021-05-23
0 to 14,23/06/2021,Scotland,170,157,327,2021-06-23
0 to 14,23/07/2021,Scotland,108,89,199,2021-07-23
0 to 14,24/05/2021,Scotland,71,70,141,2021-05-24
0 to 14,24/06/2021,Scotland,183,171,354,2021-06-24
0 to 14,24/07/2021,Scotland,84,68,152,2021-07-24
0 to 14,25/05/2021,Scotland,52,85,137,2021-05-25
0 to 14,25/06/2021,Scotland,187,170,358,2021-06-25
0 to 14,25/07/2021,Scotland,84,78,162,2021-07-25
0 to 14,26/05/2021,Scotland,60,74,134,2021-05-26
0 to 14,26/06/2021,Scotland,154,169,323,2021-06-26
0 to 14,26/07/2021,Scotland,110,124,234,2021-07-26
0 to 14,27/05/2021,Scotland,70,55,125,2021-05-27
0 to 14,27/06/2021,Scotland,186,173,359,2021-06-27
0 to 14,27/07/2021,Scotland,126,97,223,2021-07-27
0 to 14,28/05/2021,Scotland,60,58,118,2021-05-28
0 to 14,28/06/2021,Scotland,281,271,552,2021-06-28
0 to 14,28/07/2021,Scotland,95,102,197,2021-07-28
0 to 14,29/05/2021,Scotland,47,39,86,2021-05-29
0 to 14,29/06/2021,Scotland,237,240,477,2021-06-29
0 to 14,29/07/2021,Scotland,103,93,196,2021-07-29
0 to 14,30/05/2021,Scotland,48,51,99,2021-05-30
0 to 14,30/06/2021,Scotland,229,223,452,2021-06-30
0 to 14,30/07/2021,Scotland,102,76,178,2021-07-30
0 to 14,31/05/2021,Scotland,51,76,127,2021-05-31
0 to 14,31/07/2021,Scotland,56,52,108,2021-07-31
15 to 19,01/05/2021,Scotland,4,2,6,2021-05-01
15 to 19,01/06/2021,Scotland,47,30,77,2021-06-01
15 to 19,01/07/2021,Scotland,233,249,483,2021-07-01
15 to 19,01/08/2021,Scotland,47,47,95,2021-08-01
15 to 19,02/05/2021,Scotland,1,6,7,2021-05-02
15 to 19,02/06/2021,Scotland,55,58,113,2021-06-02
15 to 19,02/07/2021,Scotland,195,181,376,2021-07-02
15 to 19,02/08/2021,Scotland,90,67,157,2021-08-02
15 to 19,03/05/2021,Scotland,10,11,21,2021-05-03
15 to 19,03/06/2021,Scotland,60,56,116,2021-06-03
15 to 19,03/07/2021,Scotland,158,166,324,2021-07-03
15 to 19,03/08/2021,Scotland,76,74,150,2021-08-03
15 to 19,04/05/2021,Scotland,12,8,20,2021-05-04
15 to 19,04/06/2021,Scotland,55,39,94,2021-06-04
15 to 19,04/07/2021,Scotland,160,141,301,2021-07-04
15 to 19,04/08/2021,Scotland,87,59,146,2021-08-04
15 to 19,05/05/2021,Scotland,10,10,20,2021-05-05
15 to 19,05/06/2021,Scotland,25,32,57,2021-06-05
15 to 19,05/07/2021,Scotland,252,209,461,2021-07-05
15 to 19,05/08/2021,Scotland,67,60,127,2021-08-05
15 to 19,06/05/2021,Scotland,5,10,15,2021-05-06
15 to 19,06/06/2021,Scotland,45,34,79,2021-06-06
15 to 19,06/07/2021,Scotland,249,209,458,2021-07-06
15 to 19,06/08/2021,Scotland,73,57,130,2021-08-06
15 to 19,07/05/2021,Scotland,10,8,18,2021-05-07
15 to 19,07/06/2021,Scotland,53,59,112,2021-06-07
15 to 19,07/07/2021,Scotland,205,204,409,2021-07-07
15 to 19,07/08/2021,Scotland,41,41,82,2021-08-07
15 to 19,08/05/2021,Scotland,12,8,20,2021-05-08
15 to 19,08/06/2021,Scotland,66,59,125,2021-06-08
15 to 19,08/07/2021,Scotland,178,201,379,2021-07-08
15 to 19,09/05/2021,Scotland,12,8,20,2021-05-09
15 to 19,09/06/2021,Scotland,63,63,126,2021-06-09
15 to 19,09/07/2021,Scotland,158,160,318,2021-07-09
15 to 19,10/05/2021,Scotland,19,24,43,2021-05-10
15 to 19,10/06/2021,Scotland,42,59,101,2021-06-10
15 to 19,10/07/2021,Scotland,111,105,216,2021-07-10
15 to 19,11/05/2021,Scotland,10,12,22,2021-05-11
15 to 19,11/06/2021,Scotland,46,34,80,2021-06-11
15 to 19,11/07/2021,Scotland,117,118,235,2021-07-11
15 to 19,12/05/2021,Scotland,17,14,31,2021-05-12
15 to 19,12/06/2021,Scotland,45,35,80,2021-06-12
15 to 19,12/07/2021,Scotland,147,145,292,2021-07-12
15 to 19,13/05/2021,Scotland,16,16,32,2021-05-13
15 to 19,13/06/2021,Scotland,55,36,91,2021-06-13
15 to 19,13/07/2021,Scotland,171,146,317,2021-07-13
15 to 19,14/05/2021,Scotland,11,8,19,2021-05-14
15 to 19,14/06/2021,Scotland,51,46,97,2021-06-14
15 to 19,14/07/2021,Scotland,140,145,285,2021-07-14
15 to 19,15/05/2021,Scotland,13,12,25,2021-05-15
15 to 19,15/06/2021,Scotland,91,76,167,2021-06-15
15 to 19,15/07/2021,Scotland,97,148,245,2021-07-15
15 to 19,16/05/2021,Scotland,15,14,29,2021-05-16
15 to 19,16/06/2021,Scotland,75,90,165,2021-06-16
15 to 19,16/07/2021,Scotland,109,99,208,2021-07-16
15 to 19,17/05/2021,Scotland,22,20,42,2021-05-17
15 to 19,17/06/2021,Scotland,65,81,146,2021-06-17
15 to 19,17/07/2021,Scotland,84,77,161,2021-07-17
15 to 19,18/05/2021,Scotland,19,19,38,2021-05-18
15 to 19,18/06/2021,Scotland,65,75,140,2021-06-18
15 to 19,18/07/2021,Scotland,86,75,161,2021-07-18
15 to 19,19/05/2021,Scotland,17,20,37,2021-05-19
15 to 19,19/06/2021,Scotland,46,58,104,2021-06-19
15 to 19,19/07/2021,Scotland,119,116,235,2021-07-19
15 to 19,20/05/2021,Scotland,10,15,25,2021-05-20
15 to 19,20/06/2021,Scotland,81,96,177,2021-06-20
15 to 19,20/07/2021,Scotland,98,94,192,2021-07-20
15 to 19,21/05/2021,Scotland,15,11,26,2021-05-21
15 to 19,21/06/2021,Scotland,120,221,341,2021-06-21
15 to 19,21/07/2021,Scotland,91,92,183,2021-07-21
15 to 19,22/05/2021,Scotland,12,11,23,2021-05-22
15 to 19,22/06/2021,Scotland,145,224,369,2021-06-22
15 to 19,22/07/2021,Scotland,81,79,160,2021-07-22
15 to 19,23/05/2021,Scotland,12,15,27,2021-05-23
15 to 19,23/06/2021,Scotland,159,205,364,2021-06-23
15 to 19,23/07/2021,Scotland,80,67,147,2021-07-23
15 to 19,24/05/2021,Scotland,21,22,43,2021-05-24
15 to 19,24/06/2021,Scotland,168,205,373,2021-06-24
15 to 19,24/07/2021,Scotland,79,66,145,2021-07-24
15 to 19,25/05/2021,Scotland,26,16,42,2021-05-25
15 to 19,25/06/2021,Scotland,127,203,330,2021-06-25
15 to 19,25/07/2021,Scotland,60,44,104,2021-07-25
15 to 19,26/05/2021,Scotland,32,33,65,2021-05-26
15 to 19,26/06/2021,Scotland,124,171,295,2021-06-26
15 to 19,26/07/2021,Scotland,89,77,166,2021-07-26
15 to 19,27/05/2021,Scotland,28,30,58,2021-05-27
15 to 19,27/06/2021,Scotland,146,173,319,2021-06-27
15 to 19,27/07/2021,Scotland,88,82,170,2021-07-27
15 to 19,28/05/2021,Scotland,32,26,58,2021-05-28
15 to 19,28/06/2021,Scotland,241,304,546,2021-06-28
15 to 19,28/07/2021,Scotland,103,87,190,2021-07-28
15 to 19,29/05/2021,Scotland,27,25,52,2021-05-29
15 to 19,29/06/2021,Scotland,264,274,538,2021-06-29
15 to 19,29/07/2021,Scotland,74,79,153,2021-07-29
15 to 19,30/05/2021,Scotland,26,23,49,2021-05-30
15 to 19,30/06/2021,Scotland,262,304,566,2021-06-30
15 to 19,30/07/2021,Scotland,69,65,134,2021-07-30
15 to 19,31/05/2021,Scotland,28,20,48,2021-05-31
15 to 19,31/07/2021,Scotland,56,34,90,2021-07-31
20 to 24,01/05/2021,Scotland,4,3,7,2021-05-01
20 to 24,01/06/2021,Scotland,84,72,158,2021-06-01
20 to 24,01/07/2021,Scotland,286,303,589,2021-07-01
20 to 24,01/08/2021,Scotland,40,42,83,2021-08-01
20 to 24,02/05/2021,Scotland,3,7,10,2021-05-02
20 to 24,02/06/2021,Scotland,80,102,183,2021-06-02
20 to 24,02/07/2021,Scotland,233,279,513,2021-07-02
20 to 24,02/08/2021,Scotland,80,63,144,2021-08-02
20 to 24,03/05/2021,Scotland,10,5,15,2021-05-03
20 to 24,03/06/2021,Scotland,75,93,168,2021-06-03
20 to 24,03/07/2021,Scotland,181,200,382,2021-07-03
20 to 24,03/08/2021,Scotland,73,80,153,2021-08-03
20 to 24,04/05/2021,Scotland,9,13,22,2021-05-04
20 to 24,04/06/2021,Scotland,64,69,133,2021-06-04
20 to 24,04/07/2021,Scotland,155,194,350,2021-07-04
20 to 24,04/08/2021,Scotland,68,87,155,2021-08-04
20 to 24,05/05/2021,Scotland,11,13,24,2021-05-05
20 to 24,05/06/2021,Scotland,48,42,91,2021-06-05
20 to 24,05/07/2021,Scotland,259,257,517,2021-07-05
20 to 24,05/08/2021,Scotland,77,77,155,2021-08-05
20 to 24,06/05/2021,Scotland,9,16,25,2021-05-06
20 to 24,06/06/2021,Scotland,38,31,69,2021-06-06
20 to 24,06/07/2021,Scotland,237,232,470,2021-07-06
20 to 24,06/08/2021,Scotland,71,54,125,2021-08-06
20 to 24,07/05/2021,Scotland,8,10,18,2021-05-07
20 to 24,07/06/2021,Scotland,60,78,138,2021-06-07
20 to 24,07/07/2021,Scotland,211,248,459,2021-07-07
20 to 24,07/08/2021,Scotland,46,35,81,2021-08-07
20 to 24,08/05/2021,Scotland,10,12,22,2021-05-08
20 to 24,08/06/2021,Scotland,70,78,148,2021-06-08
20 to 24,08/07/2021,Scotland,210,196,408,2021-07-08
20 to 24,09/05/2021,Scotland,9,15,24,2021-05-09
20 to 24,09/06/2021,Scotland,82,73,156,2021-06-09
20 to 24,09/07/2021,Scotland,164,205,369,2021-07-09
20 to 24,10/05/2021,Scotland,9,17,26,2021-05-10
20 to 24,10/06/2021,Scotland,83,74,157,2021-06-10
20 to 24,10/07/2021,Scotland,98,129,228,2021-07-10
20 to 24,11/05/2021,Scotland,12,21,33,2021-05-11
20 to 24,11/06/2021,Scotland,65,66,131,2021-06-11
20 to 24,11/07/2021,Scotland,98,105,203,2021-07-11
20 to 24,12/05/2021,Scotland,11,17,28,2021-05-12
20 to 24,12/06/2021,Scotland,55,53,108,2021-06-12
20 to 24,12/07/2021,Scotland,163,156,319,2021-07-12
20 to 24,13/05/2021,Scotland,10,20,30,2021-05-13
20 to 24,13/06/2021,Scotland,73,52,126,2021-06-13
20 to 24,13/07/2021,Scotland,148,167,315,2021-07-13
20 to 24,14/05/2021,Scotland,14,17,31,2021-05-14
20 to 24,14/06/2021,Scotland,82,69,151,2021-06-14
20 to 24,14/07/2021,Scotland,139,139,278,2021-07-14
20 to 24,15/05/2021,Scotland,8,14,22,2021-05-15
20 to 24,15/06/2021,Scotland,83,93,176,2021-06-15
20 to 24,15/07/2021,Scotland,107,146,253,2021-07-15
20 to 24,16/05/2021,Scotland,16,16,32,2021-05-16
20 to 24,16/06/2021,Scotland,91,105,196,2021-06-16
20 to 24,16/07/2021,Scotland,90,100,191,2021-07-16
20 to 24,17/05/2021,Scotland,14,20,34,2021-05-17
20 to 24,17/06/2021,Scotland,84,95,179,2021-06-17
20 to 24,17/07/2021,Scotland,68,72,141,2021-07-17
20 to 24,18/05/2021,Scotland,24,23,47,2021-05-18
20 to 24,18/06/2021,Scotland,82,81,164,2021-06-18
20 to 24,18/07/2021,Scotland,63,86,149,2021-07-18
20 to 24,19/05/2021,Scotland,21,17,38,2021-05-19
20 to 24,19/06/2021,Scotland,69,84,153,2021-06-19
20 to 24,19/07/2021,Scotland,97,97,194,2021-07-19
20 to 24,20/05/2021,Scotland,21,24,46,2021-05-20
20 to 24,20/06/2021,Scotland,89,243,332,2021-06-20
20 to 24,20/07/2021,Scotland,70,85,155,2021-07-20
20 to 24,21/05/2021,Scotland,17,21,38,2021-05-21
20 to 24,21/06/2021,Scotland,190,590,780,2021-06-21
20 to 24,21/07/2021,Scotland,92,78,170,2021-07-21
20 to 24,22/05/2021,Scotland,16,10,26,2021-05-22
20 to 24,22/06/2021,Scotland,219,640,859,2021-06-22
20 to 24,22/07/2021,Scotland,88,73,162,2021-07-22
20 to 24,23/05/2021,Scotland,20,16,36,2021-05-23
20 to 24,23/06/2021,Scotland,227,453,681,2021-06-23
20 to 24,23/07/2021,Scotland,63,77,141,2021-07-23
20 to 24,24/05/2021,Scotland,22,32,54,2021-05-24
20 to 24,24/06/2021,Scotland,236,379,616,2021-06-24
20 to 24,24/07/2021,Scotland,72,52,124,2021-07-24
20 to 24,25/05/2021,Scotland,27,41,68,2021-05-25
20 to 24,25/06/2021,Scotland,187,290,478,2021-06-25
20 to 24,25/07/2021,Scotland,42,49,91,2021-07-25
20 to 24,26/05/2021,Scotland,37,74,111,2021-05-26
20 to 24,26/06/2021,Scotland,181,256,437,2021-06-26
20 to 24,26/07/2021,Scotland,75,66,144,2021-07-26
20 to 24,27/05/2021,Scotland,24,42,66,2021-05-27
20 to 24,27/06/2021,Scotland,209,286,495,2021-06-27
20 to 24,27/07/2021,Scotland,72,59,131,2021-07-27
20 to 24,28/05/2021,Scotland,25,40,65,2021-05-28
20 to 24,28/06/2021,Scotland,308,393,701,2021-06-28
20 to 24,28/07/2021,Scotland,68,84,153,2021-07-28
20 to 24,29/05/2021,Scotland,29,23,52,2021-05-29
20 to 24,29/06/2021,Scotland,370,399,769,2021-06-29
20 to 24,29/07/2021,Scotland,60,63,124,2021-07-29
20 to 24,30/05/2021,Scotland,44,30,74,2021-05-30
20 to 24,30/06/2021,Scotland,343,384,728,2021-06-30
20 to 24,30/07/2021,Scotland,40,38,79,2021-07-30
20 to 24,31/05/2021,Scotland,74,52,126,2021-05-31
20 to 24,31/07/2021,Scotland,40,46,87,2021-07-31
25 to 44,01/05/2021,Scotland,19,20,40,2021-05-01
25 to 44,01/06/2021,Scotland,128,129,258,2021-06-01
25 to 44,01/07/2021,Scotland,581,661,1244,2021-07-01
25 to 44,01/08/2021,Scotland,158,143,302,2021-08-01
25 to 44,02/05/2021,Scotland,21,22,43,2021-05-02
25 to 44,02/06/2021,Scotland,155,190,345,2021-06-02
25 to 44,02/07/2021,Scotland,562,497,1062,2021-07-02
25 to 44,02/08/2021,Scotland,240,240,480,2021-08-02
25 to 44,03/05/2021,Scotland,33,28,61,2021-05-03
25 to 44,03/06/2021,Scotland,164,169,333,2021-06-03
25 to 44,03/07/2021,Scotland,434,428,863,2021-07-03
25 to 44,03/08/2021,Scotland,253,250,505,2021-08-03
25 to 44,04/05/2021,Scotland,34,42,77,2021-05-04
25 to 44,04/06/2021,Scotland,139,160,299,2021-06-04
25 to 44,04/07/2021,Scotland,424,386,810,2021-07-04
25 to 44,04/08/2021,Scotland,245,252,498,2021-08-04
25 to 44,05/05/2021,Scotland,41,47,88,2021-05-05
25 to 44,05/06/2021,Scotland,104,127,231,2021-06-05
25 to 44,05/07/2021,Scotland,559,636,1195,2021-07-05
25 to 44,05/08/2021,Scotland,260,247,508,2021-08-05
25 to 44,06/05/2021,Scotland,38,48,87,2021-05-06
25 to 44,06/06/2021,Scotland,123,121,245,2021-06-06
25 to 44,06/07/2021,Scotland,536,578,1116,2021-07-06
25 to 44,06/08/2021,Scotland,242,209,453,2021-08-06
25 to 44,07/05/2021,Scotland,34,36,70,2021-05-07
25 to 44,07/06/2021,Scotland,161,161,322,2021-06-07
25 to 44,07/07/2021,Scotland,520,502,1024,2021-07-07
25 to 44,07/08/2021,Scotland,143,164,308,2021-08-07
25 to 44,08/05/2021,Scotland,33,40,74,2021-05-08
25 to 44,08/06/2021,Scotland,217,191,408,2021-06-08
25 to 44,08/07/2021,Scotland,451,482,935,2021-07-08
25 to 44,09/05/2021,Scotland,48,35,84,2021-05-09
25 to 44,09/06/2021,Scotland,184,205,390,2021-06-09
25 to 44,09/07/2021,Scotland,457,428,885,2021-07-09
25 to 44,10/05/2021,Scotland,56,59,115,2021-05-10
25 to 44,10/06/2021,Scotland,178,187,367,2021-06-10
25 to 44,10/07/2021,Scotland,332,346,680,2021-07-10
25 to 44,11/05/2021,Scotland,55,51,106,2021-05-11
25 to 44,11/06/2021,Scotland,153,146,299,2021-06-11
25 to 44,11/07/2021,Scotland,333,360,694,2021-07-11
25 to 44,12/05/2021,Scotland,51,59,110,2021-05-12
25 to 44,12/06/2021,Scotland,98,127,225,2021-06-12
25 to 44,12/07/2021,Scotland,471,489,962,2021-07-12
25 to 44,13/05/2021,Scotland,44,52,96,2021-05-13
25 to 44,13/06/2021,Scotland,159,163,324,2021-06-13
25 to 44,13/07/2021,Scotland,418,528,946,2021-07-13
25 to 44,14/05/2021,Scotland,65,55,120,2021-05-14
25 to 44,14/06/2021,Scotland,209,200,409,2021-06-14
25 to 44,14/07/2021,Scotland,369,474,844,2021-07-14
25 to 44,15/05/2021,Scotland,41,42,84,2021-05-15
25 to 44,15/06/2021,Scotland,206,255,463,2021-06-15
25 to 44,15/07/2021,Scotland,340,409,750,2021-07-15
25 to 44,16/05/2021,Scotland,49,45,94,2021-05-16
25 to 44,16/06/2021,Scotland,226,253,480,2021-06-16
25 to 44,16/07/2021,Scotland,310,372,683,2021-07-16
25 to 44,17/05/2021,Scotland,73,54,127,2021-05-17
25 to 44,17/06/2021,Scotland,169,239,409,2021-06-17
25 to 44,17/07/2021,Scotland,258,277,537,2021-07-17
25 to 44,18/05/2021,Scotland,75,79,156,2021-05-18
25 to 44,18/06/2021,Scotland,212,225,437,2021-06-18
25 to 44,18/07/2021,Scotland,224,245,473,2021-07-18
25 to 44,19/05/2021,Scotland,83,74,157,2021-05-19
25 to 44,19/06/2021,Scotland,158,172,332,2021-06-19
25 to 44,19/07/2021,Scotland,340,336,676,2021-07-19
25 to 44,20/05/2021,Scotland,64,66,132,2021-05-20
25 to 44,20/06/2021,Scotland,186,332,519,2021-06-20
25 to 44,20/07/2021,Scotland,298,279,577,2021-07-20
25 to 44,21/05/2021,Scotland,59,56,115,2021-05-21
25 to 44,21/06/2021,Scotland,340,694,1035,2021-06-21
25 to 44,21/07/2021,Scotland,300,283,585,2021-07-21
25 to 44,22/05/2021,Scotland,45,63,109,2021-05-22
25 to 44,22/06/2021,Scotland,395,771,1167,2021-06-22
25 to 44,22/07/2021,Scotland,244,257,504,2021-07-22
25 to 44,23/05/2021,Scotland,64,47,111,2021-05-23
25 to 44,23/06/2021,Scotland,396,690,1086,2021-06-23
25 to 44,23/07/2021,Scotland,243,224,469,2021-07-23
25 to 44,24/05/2021,Scotland,91,86,178,2021-05-24
25 to 44,24/06/2021,Scotland,445,595,1043,2021-06-24
25 to 44,24/07/2021,Scotland,144,146,290,2021-07-24
25 to 44,25/05/2021,Scotland,82,81,164,2021-05-25
25 to 44,25/06/2021,Scotland,414,524,939,2021-06-25
25 to 44,25/07/2021,Scotland,187,147,336,2021-07-25
25 to 44,26/05/2021,Scotland,111,106,218,2021-05-26
25 to 44,26/06/2021,Scotland,339,438,777,2021-06-26
25 to 44,26/07/2021,Scotland,254,219,474,2021-07-26
25 to 44,27/05/2021,Scotland,96,90,186,2021-05-27
25 to 44,27/06/2021,Scotland,399,441,840,2021-06-27
25 to 44,27/07/2021,Scotland,250,243,493,2021-07-27
25 to 44,28/05/2021,Scotland,93,109,204,2021-05-28
25 to 44,28/06/2021,Scotland,614,717,1332,2021-06-28
25 to 44,28/07/2021,Scotland,205,216,426,2021-07-28
25 to 44,29/05/2021,Scotland,78,70,148,2021-05-29
25 to 44,29/06/2021,Scotland,594,737,1332,2021-06-29
25 to 44,29/07/2021,Scotland,193,199,392,2021-07-29
25 to 44,30/05/2021,Scotland,86,71,157,2021-05-30
25 to 44,30/06/2021,Scotland,681,697,1378,2021-06-30
25 to 44,30/07/2021,Scotland,189,173,364,2021-07-30
25 to 44,31/05/2021,Scotland,98,76,175,2021-05-31
25 to 44,31/07/2021,Scotland,145,131,277,2021-07-31
45 to 64,01/05/2021,Scotland,8,15,23,2021-05-01
45 to 64,01/06/2021,Scotland,63,65,128,2021-06-01
45 to 64,01/07/2021,Scotland,311,303,614,2021-07-01
45 to 64,01/08/2021,Scotland,83,90,173,2021-08-01
45 to 64,02/05/2021,Scotland,11,16,27,2021-05-02
45 to 64,02/06/2021,Scotland,77,62,140,2021-06-02
45 to 64,02/07/2021,Scotland,282,262,544,2021-07-02
45 to 64,02/08/2021,Scotland,142,118,260,2021-08-02
45 to 64,03/05/2021,Scotland,16,19,35,2021-05-03
45 to 64,03/06/2021,Scotland,76,64,140,2021-06-03
45 to 64,03/07/2021,Scotland,257,231,489,2021-07-03
45 to 64,03/08/2021,Scotland,126,122,249,2021-08-03
45 to 64,04/05/2021,Scotland,16,13,29,2021-05-04
45 to 64,04/06/2021,Scotland,59,64,123,2021-06-04
45 to 64,04/07/2021,Scotland,249,262,511,2021-07-04
45 to 64,04/08/2021,Scotland,126,96,222,2021-08-04
45 to 64,05/05/2021,Scotland,23,23,46,2021-05-05
45 to 64,05/06/2021,Scotland,38,53,92,2021-06-05
45 to 64,05/07/2021,Scotland,333,323,657,2021-07-05
45 to 64,05/08/2021,Scotland,128,131,259,2021-08-05
45 to 64,06/05/2021,Scotland,20,28,48,2021-05-06
45 to 64,06/06/2021,Scotland,67,59,127,2021-06-06
45 to 64,06/07/2021,Scotland,281,271,554,2021-07-06
45 to 64,06/08/2021,Scotland,133,129,262,2021-08-06
45 to 64,07/05/2021,Scotland,15,23,38,2021-05-07
45 to 64,07/06/2021,Scotland,80,82,162,2021-06-07
45 to 64,07/07/2021,Scotland,275,249,524,2021-07-07
45 to 64,07/08/2021,Scotland,113,92,206,2021-08-07
45 to 64,08/05/2021,Scotland,11,24,36,2021-05-08
45 to 64,08/06/2021,Scotland,72,72,144,2021-06-08
45 to 64,08/07/2021,Scotland,263,233,496,2021-07-08
45 to 64,09/05/2021,Scotland,11,14,25,2021-05-09
45 to 64,09/06/2021,Scotland,98,82,180,2021-06-09
45 to 64,09/07/2021,Scotland,222,192,414,2021-07-09
45 to 64,10/05/2021,Scotland,28,39,67,2021-05-10
45 to 64,10/06/2021,Scotland,90,79,169,2021-06-10
45 to 64,10/07/2021,Scotland,163,172,335,2021-07-10
45 to 64,11/05/2021,Scotland,17,21,38,2021-05-11
45 to 64,11/06/2021,Scotland,92,70,162,2021-06-11
45 to 64,11/07/2021,Scotland,185,188,373,2021-07-11
45 to 64,12/05/2021,Scotland,26,20,46,2021-05-12
45 to 64,12/06/2021,Scotland,66,59,126,2021-06-12
45 to 64,12/07/2021,Scotland,235,276,512,2021-07-12
45 to 64,13/05/2021,Scotland,31,28,59,2021-05-13
45 to 64,13/06/2021,Scotland,70,65,135,2021-06-13
45 to 64,13/07/2021,Scotland,215,216,431,2021-07-13
45 to 64,14/05/2021,Scotland,27,19,46,2021-05-14
45 to 64,14/06/2021,Scotland,80,97,177,2021-06-14
45 to 64,14/07/2021,Scotland,198,205,404,2021-07-14
45 to 64,15/05/2021,Scotland,18,16,34,2021-05-15
45 to 64,15/06/2021,Scotland,107,99,207,2021-06-15
45 to 64,15/07/2021,Scotland,183,201,385,2021-07-15
45 to 64,16/05/2021,Scotland,9,17,26,2021-05-16
45 to 64,16/06/2021,Scotland,82,81,163,2021-06-16
