Date,Country,Cases,Pop
2021-08-02,Greece,1603,10718565
2021-08-02,Hungary,155,9769526
2021-08-02,Iceland,92,364134
2021-08-02,Ireland,1098,4964440
2021-08-02,Italy,5320,59641488
2021-08-02,Latvia,36,1907675
2021-08-02,Liechtenstein,2,38747
2021-08-02,Lithuania,230,2794090
2021-08-02,Luxembourg,0,626108
2021-08-02,Malta,64,514564
2021-08-02,Netherlands,2315,17407585
2021-08-02,Norway,0,5367580
2021-08-02,Poland,90,37958138
2021-08-02,Portugal,2306,10295909
2021-08-02,Romania,152,19328838
2021-08-02,Slovakia,73,5457873
2021-08-02,Slovenia,31,2095861
2021-08-02,Spain,55939,47332614
2021-08-02,Sweden,1151,10327589
2021-05-03,Austria,1732,8901064
2021-05-03,Belgium,4378,11522440
2021-05-03,Bulgaria,348,6951482
2021-05-03,Croatia,944,4058165
2021-05-03,Cyprus,58,888005
2021-05-03,Czechia,509,10693939
2021-05-03,Denmark,867,5822763
2021-05-03,Estonia,258,1328976
2021-05-03,Finland,132,5525292
2021-05-03,France,3563,67320216
2021-05-03,Germany,9160,83166711
2021-05-03,Greece,0,10718565
2021-05-03,Hungary,1219,9769526
2021-05-03,Iceland,0,364134
2021-05-03,Ireland,401,4964440
2021-05-03,Italy,9145,59641488
2021-05-03,Latvia,380,1907675
2021-05-03,Liechtenstein,6,38747
2021-05-03,Lithuania,1025,2794090
2021-05-03,Luxembourg,0,626108
2021-05-03,Malta,35,514564
2021-05-03,Netherlands,5461,17407585
2021-05-03,Norway,0,5367580
2021-05-03,Poland,4616,37958138
2021-05-03,Portugal,330,10295909
2021-05-03,Romania,1083,19328838
2021-05-03,Slovakia,930,5457873
2021-05-03,Slovenia,363,2095861
2021-05-03,Spain,16353,47332614
2021-05-03,Sweden,3069,10327589
2021-06-03,Austria,472,8901064
2021-06-03,Belgium,1473,11522440
2021-06-03,Bulgaria,197,6951482
2021-06-03,Croatia,432,4058165
2021-06-03,Cyprus,58,888005
2021-06-03,Czechia,353,10693939
2021-06-03,Denmark,954,5822763
2021-06-03,Estonia,105,1328976
2021-06-03,Finland,128,5525292
2021-06-03,France,8743,67320216
2021-06-03,Germany,4640,83166711
2021-06-03,Greece,1379,10718565
2021-06-03,Hungary,315,9769526
2021-06-03,Iceland,5,364134
2021-06-03,Ireland,399,4964440
2021-06-03,Italy,2896,59641488
2021-06-03,Latvia,348,1907675
2021-06-03,Liechtenstein,1,38747
2021-06-03,Lithuania,347,2794090
2021-06-03,Luxembourg,44,626108
2021-06-03,Malta,4,514564
2021-06-03,Netherlands,2559,17407585
2021-06-03,Norway,459,5367580
2021-06-03,Poland,659,37958138
